Algoritmo;100;1.000;5.000;10.000;50.000
01 Bubble Sort;0,00;0,00;0,05;0,23;7,68;
02 Insertion Sort;0,00;0,00;0,00;0,01;0,34;
03 Selection Sort;0,00;0,00;0,01;0,04;0,90;
04 Merge Sort;0,00;0,00;0,00;0,00;0,01;
05 Quick Sort;0,00;0,00;0,00;0,00;0,00;

Equipe:;
Aysson Silva de Morais;
José Everaldo Gomes;
Yasmin Haiany;
